from,to,weight,duration,relationship
Ego,Christian,4,3,10
Ego,Eduard,2,2,10
Ego,Jessy,3,3,2
Ego,Piero,3,3,1
Christian,Ego,4,3,10
Christian,Eduard,NA,NA,NA
Christian,Jessy,NA,NA,NA
Christian,Piero,NA,NA,NA
Eduard,Ego,2,2,10
Eduard,Christian,NA,NA,NA
Eduard,Jessy,NA,NA,NA
Eduard,Piero,NA,NA,NA
Jessy,Ego,3,3,2
Jessy,Christian,NA,NA,NA
Jessy,Eduard,NA,NA,NA
Jessy,Piero,3,3,1
Piero,Ego,3,3,1
Piero,Christian,NA,NA,NA
Piero,Eduard,NA,NA,NA
Piero,Jessy,3,3,1
